State,Risk
NEVADA,0.747897468620522
KANSAS,1.2671684634648408
MASSACHUSETTS,0.39273386518111403
RHODE ISLAND,0.08965174724834023
MONTANA,1.588460900856084
NEW YORK,0.9262558206467172
VERMONT,0.26517076886290813
ATLANTIC SOUTH,0.83432128429253
FLORIDA,1.1438565713375566
LOUISIANA,0.7533648747884892
MISSISSIPPI,0.6812188401849973
NEW JERSEY,0.3258607135722602
OKLAHOMA,1.1571608246425398
CALIFORNIA,1.259044173893924
TENNESSEE,0.8667387898446619
MISSOURI,0.9629443643867384
NEBRASKA,1.1665595185094486
IOWA,0.9377106847397649
ARKANSAS,0.9673406016058377
WASHINGTON,0.6053575725639878
ILLINOIS,0.8703732427638378
COLORADO,1.563240098175705
UTAH,1.123848062214828
OHIO,0.5725700467407949
INDIANA,0.5890727872889
KENTUCKY,0.9612402576142336
PENNSYLVANIA,0.604286309925392
DELAWARE,0.16717499022480004
LAKE MICHIGAN,0.32391296919592344
MINNESOTA,1.139424037114378
TEXAS,1.6503117916265035
GEORGIA,0.9365503998960952
SOUTH CAROLINA,0.5897890749682903
GULF OF MEXICO,1.4036228665156685
MAINE,0.458376345351561
MICHIGAN,0.7442424616742064
LAKE HURON,0.1079709897319745
WISCONSIN,0.8723810995378242
SOUTH DAKOTA,1.2464647818254386
ALABAMA,0.8268035541038886
WEST VIRGINIA,0.5614081991144803
ARIZONA,0.8223341613233823
NORTH CAROLINA,0.9531195817814127
PUERTO RICO,0.20078110611920383
ATLANTIC NORTH,0.7361658390816442
CONNECTICUT,0.28059853008773467
OREGON,0.4363701791845205
NEW MEXICO,1.0486827042019844
GUAM,0.3633301306858929
WYOMING,0.9179054690950457
LAKE SUPERIOR,0.13741762329524027
IDAHO,0.7274933972419695
ALASKA,0.9791702514284768
NEW HAMPSHIRE,0.37811356193915324
HAWAII,0.4577935589829067
NORTH DAKOTA,0.975318442356196
MARYLAND,0.5684619121086776
VIRGINIA,0.750337571923789
DISTRICT OF COLUMBIA,0.10076191005462991
LAKE ST CLAIR,0.09815544521088587
ST LAWRENCE R,0.019631089042177183
LAKE ERIE,0.2061264349428604
LAKE ONTARIO,0.08833990068979733
VIRGIN ISLANDS,0.1459664278480402
